ORIGIN,ORIGIN_CITY,AIRLINE,Year,flights,delayed,avg_delay,LATITUDE,LONGITUDE,connections,pct_delayed
BNA,Nashville,Mesa Airlines Inc.,2021,194,42,-3.4361702127659575,36.12448,-86.67818,"['IAH', 'ORD']",21.649484536082475
BNA,Nashville,PSA Airlines Inc.,2021,112,38,-0.8691588785046729,36.12448,-86.67818,"['CLT', 'PHL']",33.92857142857143
BNA,Nashville,Republic Airline,2021,703,188,0.18985507246376812,36.12448,-86.67818,"['ORD', 'LGA', 'CLT', 'EWR', 'JFK', 'BOS', 'PHL', 'AUS', 'MIA', 'TPA', 'MCO']",26.742532005689903
BNA,Nashville,SkyWest Airlines Inc.,2021,849,216,3.274154589371981,36.12448,-86.67818,"['MSP', 'ORD', 'IAH', 'DEN', 'DTW']",25.4416961130742
BNA,Nashville,Southwest Airlines Co.,2021,4051,1673,5.572511369378474,36.12448,-86.67818,"['MDW', 'ORD', 'VPS', 'SAN', 'MCO', 'LAX', 'DAL', 'ATL', 'MIA', 'LGA', 'MCI', 'MSY', 'PHX', 'LAS', 'BOS', 'CMH', 'BWI', 'DEN', 'CLE', 'SAV', 'IAH', 'PIT', 'DTW', 'HOU', 'MKE', 'PHL', 'OAK', 'MYR', 'AUS', 'CHS', 'MSP', 'TPA', 'SAT', 'SEA', 'JAX', 'BUR', 'ISP', 'OKC', 'PNS', 'SNA', 'ORF', 'SJC', 'OMA', 'SJU', 'CLT', 'SLC']",41.298444828437425
BNA,Nashville,Spirit Air Lines,2021,149,51,9.319148936170214,36.12448,-86.67818,"['LAX', 'MCO', 'LAS', 'LGA', 'EWR']",34.22818791946309
BNA,Nashville,United Air Lines Inc.,2021,258,124,14.832669322709163,36.12448,-86.67818,"['SFO', 'ORD', 'IAH', 'EWR', 'DEN']",48.06201550387597
BOI,Boise,Alaska Airlines Inc.,2021,107,29,-4.462264150943396,43.56444,-116.22278,"['SEA', 'SAN']",27.102803738317753
BOI,Boise,Allegiant Air,2021,55,28,23.192307692307693,43.56444,-116.22278,"['AZA', 'PSP', 'LAS', 'LAX', 'SNA']",50.90909090909091
BOI,Boise,American Airlines Inc.,2021,61,11,-0.08196721311475409,43.56444,-116.22278,['PHX'],18.0327868852459
BOI,Boise,Delta Air Lines Inc.,2021,139,35,-1.143884892086331,43.56444,-116.22278,"['SLC', 'MSP', 'ATL']",25.179856115107913
BOI,Boise,Envoy Air,2021,45,10,2.8,43.56444,-116.22278,"['ORD', 'PHX']",22.22222222222222
